hand_category,hand,tries,win,draw
12,6,100,21.0,0.0
13,1,100,22.0,0.0
13,2,100,18.0,0.0
13,3,100,25.0,0.0
13,4,100,16.0,0.0
13,5,100,27.0,0.0
14,1,100,15.0,0.0
14,2,100,13.0,0.0
14,3,100,24.0,0.0
14,4,100,26.0,0.0
14,5,100,14.000000000000002,0.0
15,1,100,21.0,0.0
15,2,100,24.0,0.0
15,3,100,18.0,0.0
15,4,100,28.000000000000004,0.0
16,1,100,25.0,0.0
16,2,100,17.0,0.0
16,3,100,22.0,0.0
16,4,100,21.0,0.0
17,1,100,16.0,14.000000000000002
17,2,100,22.0,9.0
17,3,100,20.0,15.0
18,1,100,40.0,20.0
18,2,100,32.0,11.0
18,3,100,26.0,15.0
19,1,100,40.0,13.0
19,2,100,50.0,9.0
20,1,100,50.0,39.0
20,2,100,55.00000000000001,31.0
21,1,100,94.0,6.0
12,1,100,22.0,0.0
12,2,100,15.0,0.0
12,3,100,17.0,0.0
12,4,100,24.0,0.0
12,5,100,19.0,0.0
12,6,100,21.0,0.0
13,1,100,22.0,0.0
13,2,100,19.0,0.0
13,3,100,21.0,0.0
13,4,100,22.0,0.0
13,5,100,28.000000000000004,0.0
14,1,100,26.0,0.0
14,2,100,23.0,0.0
14,3,100,26.0,0.0
14,4,100,26.0,0.0
14,5,100,16.0,0.0
15,1,100,14.000000000000002,0.0
15,2,100,23.0,0.0
15,3,100,18.0,0.0
15,4,100,16.0,0.0
16,1,100,24.0,0.0
16,2,100,21.0,0.0
16,3,100,25.0,0.0
16,4,100,28.000000000000004,0.0
17,1,100,23.0,9.0
17,2,100,25.0,9.0
17,3,100,18.0,10.0
18,1,100,38.0,9.0
18,2,100,40.0,12.0
18,3,100,30.0,6.0
19,1,100,50.0,14.000000000000002
19,2,100,51.0,15.0
20,1,100,55.00000000000001,36.0
20,2,100,56.99999999999999,30.0
21,1,100,96.0,4.0
12,1,100,21.0,0.0
12,2,100,14.000000000000002,0.0
12,3,100,26.0,0.0
12,4,100,28.999999999999996,0.0
12,5,100,19.0,0.0
12,6,100,18.0,0.0
13,1,100,27.0,0.0
13,2,100,25.0,0.0
13,3,100,28.000000000000004,0.0
13,4,100,23.0,0.0
13,5,100,21.0,0.0
14,1,100,21.0,0.0
14,2,100,25.0,0.0
14,3,100,22.0,0.0
14,4,100,23.0,0.0
14,5,100,27.0,0.0
15,1,100,19.0,0.0
15,2,100,26.0,0.0
15,3,100,21.0,0.0
15,4,100,19.0,0.0
16,1,100,21.0,0.0
16,2,100,17.0,0.0
16,3,100,24.0,0.0
16,4,100,22.0,0.0
17,1,100,23.0,13.0
17,2,100,24.0,11.0
17,3,100,26.0,12.0
18,1,100,39.0,17.0
18,2,100,34.0,7.000000000000001
18,3,100,37.0,14.000000000000002
19,1,100,43.0,8.0
19,2,100,55.00000000000001,8.0
20,1,100,52.0,37.0
20,2,100,50.0,36.0
21,1,100,88.0,12.0
12,1,100,22.0,0.0
12,2,100,13.0,0.0
12,3,100,24.0,0.0
12,4,100,20.0,0.0
12,5,100,24.0,0.0
12,6,100,23.0,0.0
13,1,100,21.0,0.0
13,2,100,24.0,0.0
13,3,100,25.0,0.0
13,4,100,22.0,0.0
13,5,100,27.0,0.0
14,1,100,27.0,0.0
14,2,100,16.0,0.0
14,3,100,26.0,0.0
14,4,100,18.0,0.0
14,5,100,25.0,0.0
15,1,100,19.0,0.0
15,2,100,26.0,0.0
15,3,100,15.0,0.0
15,4,100,19.0,0.0
16,1,100,18.0,0.0
16,2,100,28.000000000000004,0.0
16,3,100,15.0,0.0
16,4,100,13.0,0.0
17,1,100,21.0,12.0
17,2,100,17.0,9.0
17,3,100,26.0,13.0
18,1,100,28.000000000000004,12.0
18,2,100,31.0,12.0
18,3,100,31.0,9.0
19,1,100,41.0,13.0
19,2,100,43.0,8.0
20,1,100,53.0,34.0
20,2,100,57.99999999999999,28.999999999999996
21,1,100,89.0,11.0
12,1,100,32.0,0.0
12,2,100,17.0,0.0
12,3,100,19.0,0.0
12,4,100,26.0,0.0
12,5,100,21.0,0.0
12,6,100,24.0,0.0
13,1,100,23.0,0.0
13,2,100,24.0,0.0
13,3,100,16.0,0.0
13,4,100,20.0,0.0
13,5,100,21.0,0.0
14,1,100,19.0,0.0
14,2,100,18.0,0.0
14,3,100,25.0,0.0
14,4,100,26.0,0.0
14,5,100,19.0,0.0
15,1,100,19.0,0.0
15,2,100,31.0,0.0
15,3,100,24.0,0.0
15,4,100,24.0,0.0
16,1,100,25.0,0.0
16,2,100,24.0,0.0
16,3,100,18.0,0.0
16,4,100,33.0,0.0
17,1,100,23.0,14.000000000000002
17,2,100,18.0,10.0
17,3,100,18.0,10.0
18,1,100,28.999999999999996,7.000000000000001
18,2,100,37.0,6.0
18,3,100,34.0,11.0
19,1,100,41.0,16.0
19,2,100,48.0,5.0
20,1,100,56.99999999999999,37.0
20,2,100,66.0,24.0
21,1,100,89.0,11.0
12,1,100,21.0,0.0
12,2,100,25.0,0.0
12,3,100,24.0,0.0
12,4,100,20.0,0.0
12,5,100,13.0,0.0
12,6,100,21.0,0.0
13,1,100,21.0,0.0
13,2,100,17.0,0.0
13,3,100,22.0,0.0
13,4,100,22.0,0.0
13,5,100,19.0,0.0
14,1,100,18.0,0.0
14,2,100,25.0,0.0
14,3,100,22.0,0.0
14,4,100,28.999999999999996,0.0
14,5,100,21.0,0.0
15,1,100,24.0,0.0
15,2,100,21.0,0.0
15,3,100,19.0,0.0
15,4,100,25.0,0.0
16,1,100,16.0,0.0
16,2,100,22.0,0.0
16,3,100,25.0,0.0
16,4,100,18.0,0.0
17,1,100,16.0,10.0
17,2,100,23.0,11.0
17,3,100,20.0,10.0
18,1,100,24.0,10.0
18,2,100,36.0,7.000000000000001
18,3,100,36.0,16.0
19,1,100,44.0,11.0
19,2,100,40.0,8.0
20,1,100,65.0,25.0
20,2,100,56.99999999999999,24.0
21,1,100,90.0,10.0
12,1,100,26.0,0.0
12,2,100,18.0,0.0
12,3,100,16.0,0.0
12,4,100,17.0,0.0
12,5,100,15.0,0.0
12,6,100,25.0,0.0
13,1,100,16.0,0.0
13,2,100,15.0,0.0
13,3,100,18.0,0.0
13,4,100,23.0,0.0
13,5,100,20.0,0.0
14,1,100,20.0,0.0
14,2,100,23.0,0.0
14,3,100,18.0,0.0
14,4,100,28.000000000000004,0.0
14,5,100,31.0,0.0
15,1,100,27.0,0.0
15,2,100,22.0,0.0
15,3,100,12.0,0.0
15,4,100,18.0,0.0
16,1,100,15.0,0.0
16,2,100,15.0,0.0
16,3,100,20.0,0.0
16,4,100,28.999999999999996,0.0
17,1,100,17.0,16.0
17,2,100,16.0,12.0
17,3,100,30.0,14.000000000000002
18,1,100,24.0,11.0
18,2,100,25.0,8.0
18,3,100,28.999999999999996,14.000000000000002
19,1,100,35.0,15.0
19,2,100,42.0,12.0
20,1,100,55.00000000000001,38.0
20,2,100,59.0,28.000000000000004
21,1,100,90.0,10.0
12,1,100,22.0,0.0
12,2,100,20.0,0.0
12,3,100,20.0,0.0
12,4,100,25.0,0.0
12,5,100,15.0,0.0
12,6,100,21.0,0.0
13,1,100,21.0,0.0
13,2,100,30.0,0.0
13,3,100,25.0,0.0
13,4,100,19.0,0.0
13,5,100,19.0,0.0
14,1,100,19.0,0.0
14,2,100,25.0,0.0
14,3,100,22.0,0.0
14,4,100,19.0,0.0
14,5,100,22.0,0.0
15,1,100,21.0,0.0
15,2,100,25.0,0.0
15,3,100,22.0,0.0
15,4,100,25.0,0.0
16,1,100,22.0,0.0
16,2,100,15.0,0.0
16,3,100,23.0,0.0
16,4,100,18.0,0.0
17,1,100,23.0,8.0
17,2,100,20.0,9.0
17,3,100,23.0,12.0
18,1,100,35.0,9.0
18,2,100,33.0,13.0
18,3,100,36.0,15.0
19,1,100,40.0,15.0
19,2,100,52.0,6.0
20,1,100,53.0,37.0
20,2,100,57.99999999999999,33.0
21,1,100,87.0,13.0
12,1,100,18.0,0.0
12,2,100,24.0,0.0
12,3,100,25.0,0.0
12,4,100,19.0,0.0
12,5,100,27.0,0.0
12,6,100,18.0,0.0
13,1,100,22.0,0.0
13,2,100,25.0,0.0
13,3,100,27.0,0.0
13,4,100,22.0,0.0
13,5,100,21.0,0.0
14,1,100,23.0,0.0
14,2,100,26.0,0.0
14,3,100,21.0,0.0
14,4,100,18.0,0.0
14,5,100,25.0,0.0
15,1,100,19.0,0.0
15,2,100,26.0,0.0
15,3,100,23.0,0.0
15,4,100,16.0,0.0
16,1,100,25.0,0.0
16,2,100,23.0,0.0
16,3,100,19.0,0.0
16,4,100,18.0,0.0
17,1,100,26.0,10.0
17,2,100,28.999999999999996,10.0
17,3,100,23.0,14.000000000000002
18,1,100,26.0,11.0
18,2,100,39.0,9.0
18,3,100,33.0,11.0
19,1,100,46.0,9.0
19,2,100,43.0,12.0
20,1,100,56.99999999999999,33.0
20,2,100,55.00000000000001,34.0
21,1,100,90.0,10.0
12,1,100,25.0,0.0
12,2,100,19.0,0.0
12,3,100,21.0,0.0
12,4,100,20.0,0.0
12,5,100,19.0,0.0
12,6,100,22.0,0.0
13,1,100,23.0,0.0
13,2,100,28.000000000000004,0.0
13,3,100,18.0,0.0
13,4,100,22.0,0.0
13,5,100,32.0,0.0
14,1,100,23.0,0.0
14,2,100,23.0,0.0
14,3,100,21.0,0.0
14,4,100,18.0,0.0
14,5,100,15.0,0.0
15,1,100,22.0,0.0
15,2,100,23.0,0.0
15,3,100,23.0,0.0
15,4,100,30.0,0.0
16,1,100,18.0,0.0
16,2,100,19.0,0.0
16,3,100,18.0,0.0
16,4,100,20.0,0.0
17,1,100,18.0,14.000000000000002
17,2,100,23.0,12.0
17,3,100,14.000000000000002,15.0
18,1,100,31.0,12.0
18,2,100,34.0,7.000000000000001
18,3,100,38.0,13.0
19,1,100,46.0,15.0
19,2,100,40.0,10.0
20,1,100,57.99999999999999,31.0
20,2,100,56.99999999999999,31.0
21,1,100,91.0,9.0
12,1,100,26.0,0.0
12,2,100,27.0,0.0
12,3,100,25.0,0.0
12,4,100,27.0,0.0
12,5,100,33.0,0.0
12,6,100,17.0,0.0
13,1,100,23.0,0.0
13,2,100,18.0,0.0
13,3,100,16.0,0.0
13,4,100,23.0,0.0
13,5,100,17.0,0.0
14,1,100,24.0,0.0
14,2,100,25.0,0.0
14,3,100,21.0,0.0
14,4,100,19.0,0.0
14,5,100,26.0,0.0
15,1,100,22.0,0.0
15,2,100,16.0,0.0
15,3,100,19.0,0.0
15,4,100,23.0,0.0
16,1,100,22.0,0.0
16,2,100,23.0,0.0
16,3,100,26.0,0.0
16,4,100,17.0,0.0
17,1,100,26.0,10.0
17,2,100,36.0,5.0
17,3,100,21.0,9.0
18,1,100,31.0,16.0
18,2,100,32.0,12.0
18,3,100,27.0,8.0
19,1,100,44.0,15.0
19,2,100,40.0,16.0
20,1,100,51.0,46.0
20,2,100,64.0,30.0
21,1,100,91.0,9.0
12,1,100,25.0,0.0
12,2,100,21.0,0.0
12,3,100,23.0,0.0
12,4,100,28.999999999999996,0.0
12,5,100,16.0,0.0
12,6,100,15.0,0.0
13,1,100,17.0,0.0
13,2,100,24.0,0.0
13,3,100,23.0,0.0
13,4,100,23.0,0.0
13,5,100,20.0,0.0
14,1,100,33.0,0.0
14,2,100,21.0,0.0
14,3,100,26.0,0.0
14,4,100,19.0,0.0
14,5,100,21.0,0.0
15,1,100,26.0,0.0
15,2,100,19.0,0.0
15,3,100,16.0,0.0
15,4,100,17.0,0.0
16,1,100,20.0,0.0
16,2,100,23.0,0.0
16,3,100,28.000000000000004,0.0
16,4,100,26.0,0.0
17,1,100,26.0,14.000000000000002
17,2,100,20.0,11.0
17,3,100,23.0,10.0
18,1,100,35.0,11.0
18,2,100,35.0,14.000000000000002
18,3,100,42.0,7.000000000000001
19,1,100,44.0,11.0
19,2,100,44.0,9.0
20,1,100,55.00000000000001,31.0
20,2,100,64.0,22.0
21,1,100,89.0,11.0
12,1,100,16.0,0.0
12,2,100,12.0,0.0
12,3,100,17.0,0.0
12,4,100,30.0,0.0
12,5,100,23.0,0.0
12,6,100,19.0,0.0
13,1,100,18.0,0.0
13,2,100,24.0,0.0
13,3,100,22.0,0.0
13,4,100,23.0,0.0
13,5,100,20.0,0.0
14,1,100,15.0,0.0
14,2,100,28.000000000000004,0.0
14,3,100,13.0,0.0
14,4,100,25.0,0.0
14,5,100,15.0,0.0
15,1,100,16.0,0.0
15,2,100,21.0,0.0
15,3,100,21.0,0.0
15,4,100,25.0,0.0
16,1,100,26.0,0.0
16,2,100,22.0,0.0
16,3,100,21.0,0.0
16,4,100,27.0,0.0
17,1,100,22.0,9.0
17,2,100,17.0,13.0
17,3,100,15.0,14.000000000000002
18,1,100,30.0,14.000000000000002
18,2,100,37.0,7.000000000000001
18,3,100,25.0,12.0
19,1,100,35.0,11.0
19,2,100,41.0,9.0
20,1,100,51.0,38.0
20,2,100,65.0,28.000000000000004
21,1,100,93.0,7.000000000000001
12,1,100,18.0,0.0
12,2,100,18.0,0.0
12,3,100,28.999999999999996,0.0
12,4,100,27.0,0.0
12,5,100,18.0,0.0
12,6,100,23.0,0.0
13,1,100,19.0,0.0
13,2,100,26.0,0.0
13,3,100,22.0,0.0
13,4,100,28.000000000000004,0.0
13,5,100,15.0,0.0
14,1,100,18.0,0.0
14,2,100,19.0,0.0
14,3,100,18.0,0.0
14,4,100,18.0,0.0
14,5,100,21.0,0.0
15,1,100,26.0,0.0
15,2,100,18.0,0.0
15,3,100,27.0,0.0
15,4,100,20.0,0.0
16,1,100,20.0,0.0
16,2,100,27.0,0.0
16,3,100,21.0,0.0
16,4,100,19.0,0.0
17,1,100,21.0,9.0
17,2,100,25.0,16.0
17,3,100,25.0,11.0
18,1,100,38.0,7.000000000000001
18,2,100,35.0,9.0
18,3,100,26.0,9.0
19,1,100,42.0,14.000000000000002
19,2,100,42.0,13.0
20,1,100,50.0,41.0
20,2,100,57.99999999999999,32.0
21,1,100,90.0,10.0
12,1,100,23.0,0.0
12,2,100,22.0,0.0
12,3,100,31.0,0.0
12,4,100,23.0,0.0
12,5,100,21.0,0.0
12,6,100,18.0,0.0
13,1,100,23.0,0.0
13,2,100,19.0,0.0
13,3,100,27.0,0.0
13,4,100,24.0,0.0
13,5,100,16.0,0.0
14,1,100,16.0,0.0
14,2,100,17.0,0.0
14,3,100,20.0,0.0
14,4,100,15.0,0.0
14,5,100,21.0,0.0
15,1,100,18.0,0.0
15,2,100,31.0,0.0
15,3,100,15.0,0.0
15,4,100,19.0,0.0
16,1,100,30.0,0.0
16,2,100,28.000000000000004,0.0
16,3,100,18.0,0.0
16,4,100,19.0,0.0
17,1,100,17.0,12.0
17,2,100,21.0,9.0
17,3,100,16.0,12.0
18,1,100,28.999999999999996,15.0
18,2,100,33.0,12.0
18,3,100,42.0,13.0
19,1,100,51.0,9.0
19,2,100,48.0,13.0
20,1,100,54.0,36.0
20,2,100,50.0,33.0
21,1,100,88.0,12.0
12,1,100,34.0,0.0
12,2,100,21.0,0.0
12,3,100,21.0,0.0
12,4,100,26.0,0.0
12,5,100,23.0,0.0
12,6,100,17.0,0.0
13,1,100,23.0,0.0
13,2,100,17.0,0.0
13,3,100,17.0,0.0
13,4,100,22.0,0.0
13,5,100,18.0,0.0
14,1,100,20.0,0.0
14,2,100,21.0,0.0
14,3,100,19.0,0.0
14,4,100,21.0,0.0
14,5,100,31.0,0.0
15,1,100,31.0,0.0
15,2,100,16.0,0.0
15,3,100,26.0,0.0
15,4,100,14.000000000000002,0.0
16,1,100,23.0,0.0
16,2,100,24.0,0.0
16,3,100,19.0,0.0
16,4,100,26.0,0.0
17,1,100,27.0,10.0
17,2,100,30.0,9.0
17,3,100,25.0,12.0
18,1,100,40.0,6.0
18,2,100,42.0,3.0
18,3,100,39.0,7.000000000000001
19,1,100,56.99999999999999,9.0
19,2,100,45.0,7.000000000000001
20,1,100,51.0,33.0
20,2,100,53.0,36.0
21,1,100,91.0,9.0
12,1,100,26.0,0.0
12,2,100,22.0,0.0
12,3,100,13.0,0.0
12,4,100,19.0,0.0
12,5,100,20.0,0.0
12,6,100,19.0,0.0
13,1,100,15.0,0.0
13,2,100,23.0,0.0
13,3,100,30.0,0.0
13,4,100,18.0,0.0
13,5,100,20.0,0.0
14,1,100,24.0,0.0
14,2,100,16.0,0.0
14,3,100,21.0,0.0
14,4,100,28.000000000000004,0.0
14,5,100,21.0,0.0
15,1,100,26.0,0.0
15,2,100,21.0,0.0
15,3,100,27.0,0.0
15,4,100,21.0,0.0
16,1,100,27.0,0.0
16,2,100,28.000000000000004,0.0
16,3,100,14.000000000000002,0.0
16,4,100,21.0,0.0
17,1,100,19.0,15.0
17,2,100,28.000000000000004,12.0
17,3,100,28.999999999999996,15.0
18,1,100,40.0,10.0
18,2,100,32.0,5.0
18,3,100,35.0,13.0
19,1,100,51.0,13.0
19,2,100,42.0,14.000000000000002
20,1,100,53.0,32.0
20,2,100,65.0,27.0
21,1,100,96.0,4.0
12,1,100,28.000000000000004,0.0
12,2,100,23.0,0.0
12,3,100,28.999999999999996,0.0
12,4,100,22.0,0.0
12,5,100,21.0,0.0
12,6,100,15.0,0.0
13,1,100,26.0,0.0
13,2,100,20.0,0.0
13,3,100,22.0,0.0
13,4,100,24.0,0.0
13,5,100,20.0,0.0
14,1,100,15.0,0.0
14,2,100,20.0,0.0
14,3,100,19.0,0.0
14,4,100,27.0,0.0
14,5,100,17.0,0.0
15,1,100,23.0,0.0
15,2,100,20.0,0.0
15,3,100,20.0,0.0
15,4,100,15.0,0.0
16,1,100,25.0,0.0
16,2,100,25.0,0.0
16,3,100,25.0,0.0
16,4,100,20.0,0.0
17,1,100,28.999999999999996,7.000000000000001
17,2,100,17.0,13.0
17,3,100,24.0,9.0
18,1,100,26.0,14.000000000000002
18,2,100,34.0,10.0
18,3,100,36.0,12.0
19,1,100,54.0,8.0
19,2,100,46.0,11.0
20,1,100,59.0,31.0
20,2,100,59.0,27.0
21,1,100,90.0,10.0
12,1,100,21.0,0.0
12,2,100,21.0,0.0
12,3,100,18.0,0.0
12,4,100,20.0,0.0
12,5,100,20.0,0.0
12,6,100,21.0,0.0
13,1,100,23.0,0.0
13,2,100,24.0,0.0
13,3,100,26.0,0.0
13,4,100,28.000000000000004,0.0
13,5,100,21.0,0.0
14,1,100,19.0,0.0
14,2,100,25.0,0.0
14,3,100,20.0,0.0
14,4,100,13.0,0.0
14,5,100,19.0,0.0
15,1,100,18.0,0.0
15,2,100,24.0,0.0
15,3,100,23.0,0.0
15,4,100,23.0,0.0
16,1,100,31.0,0.0
16,2,100,12.0,0.0
16,3,100,20.0,0.0
16,4,100,21.0,0.0
17,1,100,26.0,9.0
17,2,100,27.0,10.0
17,3,100,15.0,12.0
18,1,100,30.0,10.0
18,2,100,39.0,8.0
18,3,100,33.0,12.0
19,1,100,40.0,14.000000000000002
19,2,100,47.0,10.0
20,1,100,52.0,37.0
20,2,100,61.0,24.0
21,1,100,90.0,10.0
12,1,100,27.0,0.0
12,2,100,24.0,0.0
12,3,100,14.000000000000002,0.0
12,4,100,15.0,0.0
12,5,100,19.0,0.0
12,6,100,17.0,0.0
13,1,100,27.0,0.0
13,2,100,24.0,0.0
13,3,100,28.000000000000004,0.0
13,4,100,24.0,0.0
13,5,100,27.0,0.0
14,1,100,20.0,0.0
14,2,100,19.0,0.0
14,3,100,26.0,0.0
14,4,100,17.0,0.0
14,5,100,19.0,0.0
15,1,100,20.0,0.0
15,2,100,28.999999999999996,0.0
15,3,100,20.0,0.0
15,4,100,18.0,0.0
16,1,100,22.0,0.0
16,2,100,22.0,0.0
16,3,100,25.0,0.0
16,4,100,21.0,0.0
17,1,100,12.0,13.0
17,2,100,17.0,14.000000000000002
17,3,100,20.0,9.0
18,1,100,32.0,12.0
18,2,100,34.0,12.0
18,3,100,27.0,8.0
19,1,100,47.0,6.0
19,2,100,35.0,11.0
20,1,100,64.0,26.0
20,2,100,55.00000000000001,33.0
21,1,100,89.0,11.0
12,1,100,22.0,0.0
12,2,100,18.0,0.0
12,3,100,30.0,0.0
12,4,100,20.0,0.0
12,5,100,22.0,0.0
12,6,100,24.0,0.0
13,1,100,18.0,0.0
13,2,100,22.0,0.0
13,3,100,19.0,0.0
13,4,100,23.0,0.0
13,5,100,19.0,0.0
14,1,100,24.0,0.0
14,2,100,27.0,0.0
14,3,100,16.0,0.0
14,4,100,21.0,0.0
14,5,100,25.0,0.0
15,1,100,21.0,0.0
15,2,100,21.0,0.0
15,3,100,23.0,0.0
15,4,100,31.0,0.0
16,1,100,22.0,0.0
16,2,100,25.0,0.0
16,3,100,26.0,0.0
16,4,100,25.0,0.0
17,1,100,26.0,9.0
17,2,100,17.0,9.0
17,3,100,21.0,14.000000000000002
18,1,100,28.999999999999996,15.0
18,2,100,32.0,13.0
18,3,100,36.0,10.0
19,1,100,34.0,16.0
19,2,100,45.0,9.0
20,1,100,55.00000000000001,37.0
20,2,100,57.99999999999999,32.0
21,1,100,82.0,18.0
12,1,100,25.0,0.0
12,2,100,13.0,0.0
12,3,100,17.0,0.0
12,4,100,20.0,0.0
12,5,100,23.0,0.0
12,6,100,19.0,0.0
13,1,100,22.0,0.0
13,2,100,18.0,0.0
13,3,100,20.0,0.0
13,4,100,23.0,0.0
13,5,100,18.0,0.0
14,1,100,28.000000000000004,0.0
14,2,100,18.0,0.0
14,3,100,13.0,0.0
14,4,100,26.0,0.0
14,5,100,27.0,0.0
15,1,100,27.0,0.0
15,2,100,19.0,0.0
15,3,100,27.0,0.0
15,4,100,30.0,0.0
16,1,100,19.0,0.0
16,2,100,22.0,0.0
16,3,100,22.0,0.0
16,4,100,21.0,0.0
17,1,100,15.0,15.0
17,2,100,26.0,12.0
17,3,100,26.0,9.0
18,1,100,28.999999999999996,8.0
18,2,100,42.0,2.0
18,3,100,27.0,14.000000000000002
19,1,100,37.0,13.0
19,2,100,37.0,13.0
20,1,100,56.00000000000001,35.0
20,2,100,54.0,30.0
21,1,100,90.0,10.0
12,1,100,24.0,0.0
12,2,100,19.0,0.0
12,3,100,19.0,0.0
12,4,100,24.0,0.0
12,5,100,20.0,0.0
12,6,100,18.0,0.0
13,1,100,26.0,0.0
13,2,100,26.0,0.0
13,3,100,15.0,0.0
13,4,100,27.0,0.0
13,5,100,25.0,0.0
14,1,100,17.0,0.0
14,2,100,27.0,0.0
14,3,100,25.0,0.0
14,4,100,15.0,0.0
14,5,100,24.0,0.0
15,1,100,27.0,0.0
15,2,100,22.0,0.0
15,3,100,25.0,0.0
15,4,100,22.0,0.0
16,1,100,26.0,0.0
16,2,100,23.0,0.0
16,3,100,24.0,0.0
16,4,100,26.0,0.0
17,1,100,19.0,15.0
17,2,100,15.0,12.0
17,3,100,25.0,19.0
18,1,100,39.0,9.0
18,2,100,33.0,7.000000000000001
18,3,100,36.0,5.0
19,1,100,42.0,10.0
19,2,100,47.0,13.0
20,1,100,64.0,27.0
20,2,100,64.0,23.0
21,1,100,84.0,16.0
12,1,100,23.0,0.0
12,2,100,27.0,0.0
12,3,100,27.0,0.0
12,4,100,16.0,0.0
12,5,100,19.0,0.0
12,6,100,27.0,0.0
13,1,100,19.0,0.0
13,2,100,26.0,0.0
13,3,100,26.0,0.0
13,4,100,18.0,0.0
13,5,100,28.000000000000004,0.0
14,1,100,18.0,0.0
14,2,100,20.0,0.0
14,3,100,21.0,0.0
14,4,100,23.0,0.0
14,5,100,19.0,0.0
15,1,100,24.0,0.0
15,2,100,23.0,0.0
15,3,100,16.0,0.0
15,4,100,28.000000000000004,0.0
16,1,100,17.0,0.0
16,2,100,22.0,0.0
16,3,100,22.0,0.0
16,4,100,25.0,0.0
17,1,100,20.0,17.0
17,2,100,20.0,9.0
17,3,100,17.0,16.0
18,1,100,36.0,18.0
18,2,100,36.0,9.0
18,3,100,35.0,16.0
19,1,100,43.0,19.0
19,2,100,54.0,9.0
20,1,100,48.0,41.0
20,2,100,54.0,35.0
21,1,100,90.0,10.0
12,1,100,28.000000000000004,0.0
12,2,100,17.0,0.0
12,3,100,13.0,0.0
12,4,100,34.0,0.0
12,5,100,23.0,0.0
12,6,100,21.0,0.0
13,1,100,26.0,0.0
13,2,100,20.0,0.0
13,3,100,22.0,0.0
13,4,100,21.0,0.0
13,5,100,20.0,0.0
14,1,100,22.0,0.0
14,2,100,18.0,0.0
14,3,100,26.0,0.0
14,4,100,19.0,0.0
14,5,100,21.0,0.0
15,1,100,21.0,0.0
15,2,100,15.0,0.0
15,3,100,20.0,0.0
15,4,100,28.000000000000004,0.0
16,1,100,28.000000000000004,0.0
16,2,100,27.0,0.0
16,3,100,21.0,0.0
16,4,100,16.0,0.0
17,1,100,23.0,11.0
17,2,100,19.0,12.0
17,3,100,27.0,11.0
18,1,100,30.0,14.000000000000002
18,2,100,40.0,7.000000000000001
18,3,100,34.0,13.0
19,1,100,31.0,20.0
19,2,100,38.0,11.0
20,1,100,55.00000000000001,34.0
20,2,100,64.0,25.0
21,1,100,94.0,6.0
12,1,100,23.0,0.0
12,2,100,23.0,0.0
12,3,100,15.0,0.0
12,4,100,20.0,0.0
12,5,100,18.0,0.0
12,6,100,20.0,0.0
13,1,100,18.0,0.0
13,2,100,25.0,0.0
13,3,100,18.0,0.0
13,4,100,22.0,0.0
13,5,100,19.0,0.0
14,1,100,17.0,0.0
14,2,100,24.0,0.0
14,3,100,22.0,0.0
14,4,100,28.000000000000004,0.0
14,5,100,20.0,0.0
15,1,100,25.0,0.0
15,2,100,24.0,0.0
15,3,100,30.0,0.0
15,4,100,28.999999999999996,0.0
16,1,100,17.0,0.0
16,2,100,21.0,0.0
16,3,100,24.0,0.0
16,4,100,16.0,0.0
17,1,100,23.0,9.0
17,2,100,21.0,10.0
17,3,100,20.0,10.0
18,1,100,31.0,9.0
18,2,100,28.000000000000004,12.0
18,3,100,31.0,10.0
19,1,100,40.0,14.000000000000002
19,2,100,50.0,10.0
20,1,100,53.0,40.0
20,2,100,59.0,30.0
21,1,100,86.0,14.000000000000002
12,1,100,23.0,0.0
12,2,100,24.0,0.0
12,3,100,20.0,0.0
12,4,100,22.0,0.0
12,5,100,21.0,0.0
12,6,100,20.0,0.0
13,1,100,17.0,0.0
13,2,100,17.0,0.0
13,3,100,16.0,0.0
13,4,100,14.000000000000002,0.0
13,5,100,18.0,0.0
14,1,100,24.0,0.0
14,2,100,22.0,0.0
14,3,100,18.0,0.0
14,4,100,27.0,0.0
14,5,100,31.0,0.0
15,1,100,16.0,0.0
15,2,100,14.000000000000002,0.0
15,3,100,22.0,0.0
15,4,100,21.0,0.0
16,1,100,24.0,0.0
16,2,100,21.0,0.0
16,3,100,22.0,0.0
16,4,100,22.0,0.0
17,1,100,15.0,14.000000000000002
17,2,100,28.000000000000004,11.0
17,3,100,23.0,9.0
18,1,100,37.0,14.000000000000002
18,2,100,41.0,12.0
18,3,100,27.0,12.0
19,1,100,43.0,10.0
19,2,100,48.0,10.0
20,1,100,57.99999999999999,30.0
20,2,100,57.99999999999999,28.999999999999996
21,1,100,89.0,11.0
12,1,100,15.0,0.0
12,2,100,18.0,0.0
12,3,100,27.0,0.0
12,4,100,21.0,0.0
12,5,100,16.0,0.0
12,6,100,23.0,0.0
13,1,100,19.0,0.0
13,2,100,23.0,0.0
13,3,100,22.0,0.0
13,4,100,28.000000000000004,0.0
13,5,100,18.0,0.0
14,1,100,21.0,0.0
14,2,100,27.0,0.0
14,3,100,28.999999999999996,0.0
14,4,100,20.0,0.0
14,5,100,16.0,0.0
15,1,100,28.999999999999996,0.0
15,2,100,19.0,0.0
15,3,100,23.0,0.0
15,4,100,26.0,0.0
16,1,100,18.0,0.0
16,2,100,20.0,0.0
16,3,100,19.0,0.0
16,4,100,20.0,0.0
